#"source OuterVoltage","source TotalCurrent","source Charge","drain OuterVoltage","drain TotalCurrent","drain Charge","gate OuterVoltage","gate TotalCurrent","gate Charge","substrate OuterVoltage","substrate TotalCurrent","substrate Charge"
-2.37413081197168E-42,1.49780211036290E-20,7.62292840459790E-16,-1.18706257580138E-42,2.07350226639853E-18,6.76507465103181E-16,0.00000000000000E+00,-5.23073235569642E-32,1.57466903032130E-15,0.00000000000000E+00,-1.99827992362752E-18,-2.62776427808506E-15
1.52952212880956E-32,-2.14684607946290E-08,7.62216415217377E-16,1.00000000000000E-02,2.14684607999268E-08,7.32566735036434E-16,0.00000000000000E+00,-6.39758805844379E-32,1.51463086868663E-15,0.00000000000000E+00,-5.08904614652123E-18,-2.62349783716734E-15
2.54920354549341E-33,-3.38506770597494E-08,7.62143642800508E-16,2.00000000000000E-02,3.38506771210053E-08,7.88484886269616E-16,0.00000000000000E+00,-9.37509349015910E-32,1.45478593484051E-15,0.00000000000000E+00,-6.13899751661598E-17,-2.61935758057501E-15
2.54920354549341E-33,-4.06839259067439E-08,7.62074432679699E-16,3.00000000000000E-02,4.06839259650361E-08,8.44227547753785E-16,0.00000000000000E+00,-5.63301446685499E-33,1.39522302939107E-15,0.00000000000000E+00,-5.80155385366986E-17,-2.61537640650729E-15
-3.04185623491251E-42,-4.43374914546248E-08,7.62008678333302E-16,4.00000000000000E-02,4.43374915403644E-08,8.99761215746163E-16,0.00000000000000E+00,-9.44550450213366E-32,1.33602624309569E-15,0.00000000000000E+00,-8.56261609562837E-17,-2.61158940397667E-15
1.27460177118752E-33,-4.62761783901039E-08,7.61946264750064E-16,5.00000000000000E-02,4.62761784785873E-08,9.55051968002367E-16,0.00000000000000E+00,-7.48398334274547E-32,1.27727750544406E-15,0.00000000000000E+00,-8.86171439512837E-17,-2.60803360210803E-15
-3.04243472461898E-42,-4.73492669616303E-08,7.61887074180076E-16,6.00000000000000E-02,4.73492670503220E-08,1.01006182568983E-15,0.00000000000000E+00,-1.04614419493117E-32,1.21906161577165E-15,0.00000000000000E+00,-8.87803393637683E-17,-2.60474811347081E-15
6.37300884072834E-34,-4.80134045396145E-08,7.61830988826263E-16,7.00000000000000E-02,4.80134046533791E-08,1.06475162106152E-15,0.00000000000000E+00,4.82839701999717E-32,1.16146427119889E-15,0.00000000000000E+00,-1.13528575664863E-16,-2.60177409800881E-15
9.55951327626266E-34,-4.84922831742303E-08,7.61777891231919E-16,8.00000000000000E-02,4.84922833043859E-08,1.11908131098122E-15,0.00000000000000E+00,-3.41989172957376E-33,1.10457221151652E-15,0.00000000000000E+00,-1.30309204389337E-16,-2.59915455052740E-15
-3.05583847828765E-42,-4.88846298533869E-08,7.61727664084285E-16,9.00000000000000E-02,4.88846299607550E-08,1.17300540713572E-15,0.00000000000000E+00,1.00593348214832E-32,1.04847764775573E-15,0.00000000000000E+00,-1.07521881805075E-16,-2.59693367772925E-15
3.18650440496072E-34,-4.92292120529370E-08,7.61680190201937E-16,1.00000000000000E-01,4.92292121686367E-08,1.22646675321580E-15,0.00000000000000E+00,-6.11595033096350E-32,9.93285742583195E-16,0.00000000000000E+00,-1.15564490244877E-16,-2.59515780705831E-15
4.77975662274926E-34,-4.95398239575023E-08,7.61635352427727E-16,1.10000000000000E-01,4.95398240758077E-08,1.27941346632796E-15,0.00000000000000E+00,-5.55263115335316E-32,9.39097182380339E-16,0.00000000000000E+00,-1.18364249357842E-16,-2.59387464144098E-15
5.57638273164334E-34,-4.98216500114832E-08,7.61593034005116E-16,1.20000000000000E-01,4.98216501403476E-08,1.33178765714313E-15,0.00000000000000E+00,-8.28871109992623E-32,8.86019445071099E-16,0.00000000000000E+00,-1.29006702269705E-16,-2.59313305485767E-15
7.16963494944274E-34,-5.00770937300498E-08,7.61553117131503E-16,1.30000000000000E-01,5.00770938681960E-08,1.38350649760858E-15,0.00000000000000E+00,-1.05419525272660E-31,8.34184582322805E-16,0.00000000000000E+00,-1.38368262265037E-16,-2.59298180108545E-15
-4.30178099108847E-33,-5.03080877349324E-08,7.61515481089206E-16,1.40000000000000E-01,5.03080878633667E-08,1.43450617260069E-15,0.00000000000000E+00,-8.36918097268435E-32,7.83705417350550E-16,0.00000000000000E+00,-1.28275769057407E-16,-2.59346956535421E-15
8.76288716722514E-34,-5.05165723098459E-08,7.61480000024867E-16,1.50000000000000E-01,5.05165724347327E-08,1.48469676834671E-15,0.00000000000000E+00,-1.77039996733106E-32,7.34715894942138E-16,0.00000000000000E+00,-1.24785122050019E-16,-2.59464013845524E-15
9.55951327611939E-34,-5.07044929444811E-08,7.61446540111910E-16,1.60000000000000E-01,5.07044930268001E-08,1.53404268725210E-15,0.00000000000000E+00,-1.93134461441727E-32,6.87288324776248E-16,0.00000000000000E+00,-8.24890545032467E-17,-2.59653003453422E-15
1.03561393850191E-33,-5.08738000742283E-08,7.61414956936480E-16,1.70000000000000E-01,5.08738000993422E-08,1.58251500992509E-15,0.00000000000000E+00,-5.95502130260945E-32,6.41471008990426E-16,0.00000000000000E+00,-2.51624081973703E-17,-2.59915845610270E-15
-1.59325224840343E-34,-5.10264531459412E-08,7.61385093434564E-16,1.80000000000000E-01,5.10264530751387E-08,1.63008603307118E-15,0.00000000000000E+00,-5.19051738668850E-32,5.97293183169646E-16,0.00000000000000E+00,7.08214270864089E-17,-2.60252675763081E-15
2.38987829606700E-34,-5.11644091473394E-08,7.61356780540288E-16,1.90000000000000E-01,5.11644088897442E-08,1.67673043834174E-15,0.00000000000000E+00,-3.70174415885524E-32,5.54766478775210E-16,0.00000000000000E+00,2.57700727411930E-16,-2.60662107003102E-15
-3.18650446618037E-34,-5.12895855477559E-08,7.61329841130652E-16,2.00000000000000E-01,5.12895850073358E-08,1.72242584508426E-15,0.00000000000000E+00,-1.03005424949462E-31,5.13886281832557E-16,0.00000000000000E+00,5.40505317353137E-16,-2.61141421226403E-15
-2.38987835728919E-34,-5.14038177429195E-08,7.61304095091247E-16,2.10000000000000E-01,5.14038167414644E-08,1.76715342071870E-15,0.00000000000000E+00,-1.60945405486415E-32,4.74632545969734E-16,0.00000000000000E+00,1.00128045556931E-15,-2.61686711836403E-15
-8.36457417399193E-34,-5.15088186763921E-08,7.61279364815300E-16,2.20000000000000E-01,5.15088169974110E-08,1.81089846553446E-15,0.00000000000000E+00,-7.32304873900403E-32,4.36970939443784E-16,0.00000000000000E+00,1.67881526509311E-15,-2.62293057414151E-15
-7.56794806509776E-34,-5.16061456902251E-08,7.61255480568454E-16,2.30000000000000E-01,5.16061430570644E-08,1.85365093476017E-15,0.00000000000000E+00,-4.82836900465279E-32,4.00854749506368E-16,0.00000000000000E+00,2.63309822850799E-15,-2.62954764881325E-15
-6.77132195620376E-34,-5.16971798278660E-08,7.61232284799363E-16,2.40000000000000E-01,5.16971759056612E-08,1.89540592898436E-15,0.00000000000000E+00,2.01186063550208E-33,3.66227127851551E-16,0.00000000000000E+00,3.92221496459557E-15,-2.63665643494757E-15
-6.37300890175812E-34,-5.17831162879647E-08,7.61209635351256E-16,2.50000000000000E-01,5.17831106524935E-08,1.93616408140458E-15,0.00000000000000E+00,-4.82837418105714E-32,3.33023618363007E-16,0.00000000000000E+00,5.63545373468082E-15,-2.64419296656630E-15
-5.97469584731103E-34,-5.18649658842341E-08,7.61187407273746E-16,2.60000000000000E-01,5.18649579962494E-08,1.97593188293013E-15,0.00000000000000E+00,-5.31121846932642E-32,3.01174596012254E-16,0.00000000000000E+00,7.88792916603600E-15,-2.65209398462488E-15
-5.65604537620842E-33,-5.19435663113271E-08,7.61165493219383E-16,2.70000000000000E-01,5.19435561497519E-08,2.01472189756253E-15,0.00000000000000E+00,9.25447448520033E-33,2.70607411943400E-16,0.00000000000000E+00,1.01615995995092E-14,-2.66029929757052E-15
-5.17806973841631E-34,-5.20195982827767E-08,7.61143803118367E-16,2.80000000000000E-01,5.20195842514552E-08,2.05255261019161E-15,0.00000000000000E+00,6.43776782322456E-33,2.41248349717603E-16,0.00000000000000E+00,1.40313873625938E-14,-2.66875358486947E-15
-4.97891321119277E-34,-5.20936062588074E-08,7.61122262766180E-16,2.90000000000000E-01,5.20935955300697E-08,2.08944817618684E-15,0.00000000000000E+00,-5.91475214688071E-32,2.13024015545224E-16,0.00000000000000E+00,1.07289294236505E-14,-2.67740753513296E-15
-4.77975668396925E-34,-5.21660207660060E-08,7.61100811809263E-16,3.00000000000000E-01,5.21660139745561E-08,2.12543788290552E-15,0.00000000000000E+00,-1.85086665810466E-32,1.85862297106436E-16,0.00000000000000E+00,6.79140383343272E-15,-2.68621826418989E-15
-4.68017842035749E-34,-5.22371778246860E-08,7.61079401878750E-16,3.10000000000000E-01,5.22371735363698E-08,2.16055542449960E-15,0.00000000000000E+00,-3.90293371246585E-32,1.59693197681350E-16,0.00000000000000E+00,4.28835245049526E-15,-2.69514942199430E-15
-1.73266178990511E-33,-5.23073376206349E-08,7.61057994527414E-16,3.20000000000000E-01,5.23073350235100E-08,2.19483800076812E-15,0.00000000000000E+00,2.21300015453108E-32,1.34449343389957E-16,0.00000000000000E+00,2.59733160893885E-15,-2.70417079664129E-15
2.09612244596716E-33,-5.23767005698907E-08,7.61036559357274E-16,3.30000000000000E-01,5.23766991064902E-08,2.22832534439210E-15,0.00000000000000E+00,1.48875345310391E-32,1.10066354442754E-16,0.00000000000000E+00,1.46320426900051E-15,-2.71325771095957E-15
8.24010128326899E-34,-5.24454206474577E-08,7.61015072396934E-16,3.40000000000000E-01,5.24454199253769E-08,2.26105875001497E-15,0.00000000000000E+00,-4.02364549063104E-32,8.64831098750957E-17,0.00000000000000E+00,7.22192203689263E-16,-2.72239031465861E-15
1.89198697801942E-34,-5.25136159958493E-08,7.60993514746465E-16,3.50000000000000E-01,5.25136157454713E-08,2.29308016937045E-15,0.00000000000000E+00,-7.24256470506128E-32,6.36419318133938E-17,0.00000000000000E+00,2.50503506913137E-16,-2.73155286257976E-15
-4.45612732723033E-34,-5.25813772160198E-08,7.60971871497185E-16,3.60000000000000E-01,5.25813772672038E-08,2.32443142217790E-15,0.00000000000000E+00,3.64141943379793E-32,4.14886932681611E-17,0.00000000000000E+00,-5.12615062064763E-17,-2.74073303223293E-15
-7.61773719690373E-34,-5.26487751707125E-08,7.60950130595531E-16,3.70000000000000E-01,5.26487753737699E-08,2.35515349319269E-15,0.00000000000000E+00,-4.50647572227299E-32,1.99727511527419E-17,0.00000000000000E+00,-2.03297078816609E-16,-2.74992115294731E-15
-1.07980179910043E-33,-5.27158645637093E-08,7.60928282419272E-16,3.80000000000000E-01,5.27158648403708E-08,2.38528603430497E-15,0.00000000000000E+00,-2.09229464663658E-32,-9.52948648016919E-19,0.00000000000000E+00,-2.76637198164701E-16,-2.75910981244097E-15
-1.39782987851051E-33,-5.27826881793560E-08,7.60906319149760E-16,3.90000000000000E-01,5.27826884903514E-08,2.41486694959455E-15,0.00000000000000E+00,-3.42008896932912E-32,-2.13319587751802E-17,0.00000000000000E+00,-3.11026195137929E-16,-2.76829335397496E-15
9.92359630245541E-34,-5.28492797833593E-08,7.60884234356762E-16,4.00000000000000E-01,5.28492801109138E-08,2.44393210551872E-15,0.00000000000000E+00,-5.31121418129761E-32,-4.12044222455083E-17,0.00000000000000E+00,-3.27468114775099E-16,-2.77746749424536E-15
8.33656772614307E-34,-5.29156662829869E-08,7.60862022686700E-16,4.10000000000000E-01,5.29156666182280E-08,2.47251513806878E-15,0.00000000000000E+00,-1.04613504619262E-32,-6.06071889526843E-17,0.00000000000000E+00,-3.35242483036734E-16,-2.78662901371633E-15
6.74642732909272E-34,-5.29818692662485E-08,7.60839679646235E-16,4.20000000000000E-01,5.29818696069382E-08,2.50064734070965E-15,0.00000000000000E+00,-1.64969595755408E-32,-7.95739359880804E-17,0.00000000000000E+00,-3.40655943203193E-16,-2.79577552400937E-15
5.15473102167352E-34,-5.30479061442116E-08,7.60817201440911E-16,4.30000000000000E-01,5.30479064887067E-08,2.52835761670115E-15,0.00000000000000E+00,2.81666928062222E-33,-9.81353099711898E-17,0.00000000000000E+00,-3.44570913562568E-16,-2.80490527772911E-15
2.90550701988651E-33,-5.31137909668272E-08,7.60794584856248E-16,4.40000000000000E-01,5.31137913151332E-08,2.55567248234663E-15,0.00000000000000E+00,-4.26506394617193E-32,-1.16319078473408E-16,0.00000000000000E+00,-3.48297226358563E-16,-2.81401702019202E-15
-2.35214750329602E-33,-5.31795352224076E-08,7.60771827141337E-16,4.50000000000000E-01,5.31795355745938E-08,2.58261611257952E-15,0.00000000000000E+00,-4.98930866671959E-32,-1.34150298717405E-16,0.00000000000000E+00,-3.52017225860974E-16,-2.82310986617396E-15
-4.18539919847246E-35,-5.32451483542579E-08,7.60748925936074E-16,4.60000000000000E-01,5.32451487091335E-08,2.60921042069895E-15,0.00000000000000E+00,-2.33370795841394E-32,-1.51651490757526E-16,0.00000000000000E+00,-3.55072038310074E-16,-2.83218320639628E-15
1.17549025312543E-34,-5.33106379440958E-08,7.60725879248970E-16,4.70000000000000E-01,5.33106383021767E-08,2.63547516258772E-15,0.00000000000000E+00,-6.27688931725534E-32,-1.68842809007383E-16,0.00000000000000E+00,-3.58139097180299E-16,-2.84123664020175E-15
3.79642099415807E-35,-5.33760098778274E-08,7.60702685436073E-16,4.80000000000000E-01,5.33760102387475E-08,2.66142806218019E-15,0.00000000000000E+00,1.20710381665719E-32,-1.85742216784930E-16,0.00000000000000E+00,-3.61025166133436E-16,-2.85026992645640E-15
-5.14006660011076E-33,-5.34412686638401E-08,7.60679343148136E-16,4.90000000000000E-01,5.34412690281183E-08,2.68708494833833E-15,0.00000000000000E+00,-2.01174010053192E-33,-2.02365669241514E-16,0.00000000000000E+00,-3.64188513722937E-16,-2.85928293744994E-15
4.89746126971395E-33,-5.35064177264674E-08,7.60655851282560E-16,5.00000000000000E-01,5.35064180933644E-08,2.71245989985406E-15,0.00000000000000E+00,-1.14674380057287E-32,-2.18727296000641E-16,0.00000000000000E+00,-3.66858160018878E-16,-2.86827562117310E-15
