Vs,Vg,Vd,Id,Is,Qs,Qd,Ig,Qg,Vb,Ib,Qb
6.00E-01,1.20E+00,-8.34E-34,-2.06E-04,2.06E-04,7.74E-16,-3.23E-15,1.37E-31,7.48E-15,0.00E+00,-1.47E-16,-4.63E-15
6.00E-01,1.20E+00,1.00E-02,-2.03E-04,2.03E-04,7.74E-16,-3.20E-15,5.79E-32,7.45E-15,0.00E+00,-1.22E-14,-4.63E-15
6.00E-01,1.20E+00,2.00E-02,-2.00E-04,2.00E-04,7.73E-16,-3.17E-15,3.90E-31,7.42E-15,0.00E+00,-1.79E-16,-4.64E-15
6.00E-01,1.20E+00,3.00E-02,-1.97E-04,1.97E-04,7.73E-16,-3.14E-15,3.35E-31,7.40E-15,0.00E+00,-2.11E-16,-4.64E-15
6.00E-01,1.20E+00,4.00E-02,-1.95E-04,1.95E-04,7.73E-16,-3.12E-15,1.90E-31,7.37E-15,0.00E+00,-2.71E-16,-4.64E-15
6.00E-01,1.10E+00,-8.36E-34,-1.93E-04,1.93E-04,8.03E-16,-2.86E-15,-2.16E-31,6.88E-15,0.00E+00,-4.78E-17,-4.44E-15
6.00E-01,1.20E+00,5.00E-02,-1.91E-04,1.91E-04,7.72E-16,-3.09E-15,-1.35E-31,7.34E-15,0.00E+00,-6.15E-17,-4.64E-15
6.00E-01,1.10E+00,1.00E-02,-1.90E-04,1.90E-04,8.03E-16,-2.83E-15,3.86E-32,6.85E-15,0.00E+00,-3.62E-16,-4.44E-15
6.00E-01,1.10E+00,2.00E-02,-1.88E-04,1.88E-04,8.02E-16,-2.80E-15,-2.96E-31,6.83E-15,0.00E+00,-3.95E-16,-4.44E-15
6.00E-01,1.20E+00,6.00E-02,-1.88E-04,1.88E-04,7.72E-16,-3.06E-15,1.93E-31,7.32E-15,0.00E+00,-3.42E-16,-4.64E-15
6.00E-01,1.10E+00,3.00E-02,-1.85E-04,1.85E-04,8.02E-16,-2.77E-15,9.66E-32,6.80E-15,0.00E+00,-3.56E-16,-4.44E-15
6.00E-01,1.20E+00,7.00E-02,-1.85E-04,1.85E-04,7.72E-16,-3.03E-15,2.03E-31,7.29E-15,0.00E+00,-3.26E-16,-4.64E-15
6.00E-01,1.10E+00,4.00E-02,-1.82E-04,1.82E-04,8.02E-16,-2.74E-15,5.41E-31,6.77E-15,0.00E+00,-4.17E-16,-4.44E-15
6.00E-01,1.20E+00,8.00E-02,-1.82E-04,1.82E-04,7.72E-16,-3.01E-15,6.44E-33,7.26E-15,0.00E+00,-4.30E-16,-4.64E-15
6.00E-01,1.10E+00,5.00E-02,-1.79E-04,1.79E-04,8.01E-16,-2.71E-15,-1.55E-31,6.74E-15,0.00E+00,-3.63E-14,-4.44E-15
6.00E-01,1.20E+00,9.00E-02,-1.79E-04,1.79E-04,7.71E-16,-2.98E-15,4.12E-31,7.24E-15,0.00E+00,-4.49E-16,-4.64E-15
6.00E-01,1.00E+00,-8.38E-34,-1.77E-04,1.77E-04,8.34E-16,-2.53E-15,1.22E-31,6.36E-15,0.00E+00,-3.11E-16,-4.27E-15
6.00E-01,1.10E+00,6.00E-02,-1.76E-04,1.76E-04,8.01E-16,-2.68E-15,-9.01E-32,6.71E-15,0.00E+00,-3.62E-16,-4.44E-15
6.00E-01,1.20E+00,1.00E-01,-1.76E-04,1.76E-04,7.71E-16,-2.95E-15,1.21E-31,7.21E-15,0.00E+00,-5.63E-16,-4.64E-15
6.00E-01,1.00E+00,1.00E-02,-1.74E-04,1.74E-04,8.34E-16,-2.50E-15,1.03E-30,6.32E-15,0.00E+00,-6.77E-15,-4.27E-15
6.00E-01,1.10E+00,7.00E-02,-1.73E-04,1.73E-04,8.01E-16,-2.65E-15,1.93E-31,6.68E-15,0.00E+00,-2.92E-16,-4.44E-15
6.00E-01,1.20E+00,1.10E-01,-1.73E-04,1.73E-04,7.71E-16,-2.92E-15,3.48E-31,7.18E-15,0.00E+00,-4.59E-16,-4.64E-15
6.00E-01,1.00E+00,2.00E-02,-1.71E-04,1.71E-04,8.33E-16,-2.47E-15,-2.96E-31,6.29E-15,0.00E+00,-6.56E-15,-4.27E-15
6.00E-01,1.10E+00,8.00E-02,-1.70E-04,1.70E-04,8.00E-16,-2.62E-15,1.29E-32,6.65E-15,0.00E+00,-2.74E-16,-4.44E-15
6.00E-01,1.20E+00,1.20E-01,-1.70E-04,1.70E-04,7.71E-16,-2.90E-15,2.90E-32,7.16E-15,0.00E+00,-1.42E-16,-4.64E-15
6.00E-01,1.00E+00,3.00E-02,-1.68E-04,1.68E-04,8.33E-16,-2.44E-15,7.66E-31,6.26E-15,0.00E+00,-6.97E-15,-4.27E-15
6.00E-01,1.10E+00,9.00E-02,-1.67E-04,1.67E-04,8.00E-16,-2.59E-15,-9.27E-31,6.62E-15,0.00E+00,-3.74E-14,-4.44E-15
6.00E-01,1.20E+00,1.30E-01,-1.67E-04,1.67E-04,7.70E-16,-2.87E-15,2.29E-31,7.13E-15,0.00E+00,-3.34E-16,-4.64E-15
6.00E-01,1.00E+00,4.00E-02,-1.65E-04,1.65E-04,8.33E-16,-2.41E-15,-2.83E-31,6.23E-15,0.00E+00,-7.58E-15,-4.26E-15
6.00E-01,1.10E+00,1.00E-01,-1.64E-04,1.64E-04,8.00E-16,-2.56E-15,-1.45E-32,6.59E-15,0.00E+00,-3.16E-16,-4.44E-15
6.00E-01,1.20E+00,1.40E-01,-1.64E-04,1.64E-04,7.70E-16,-2.84E-15,2.38E-31,7.10E-15,0.00E+00,-2.85E-16,-4.65E-15
6.00E-01,1.00E+00,5.00E-02,-1.63E-04,1.63E-04,8.32E-16,-2.38E-15,9.34E-32,6.20E-15,0.00E+00,-3.60E-15,-4.26E-15
6.00E-01,1.10E+00,1.10E-01,-1.61E-04,1.61E-04,7.99E-16,-2.53E-15,3.61E-31,6.56E-15,0.00E+00,-4.85E-16,-4.44E-15
6.00E-01,1.20E+00,1.50E-01,-1.61E-04,1.61E-04,7.70E-16,-2.81E-15,3.41E-31,7.08E-15,0.00E+00,-5.03E-16,-4.65E-15
6.00E-01,1.00E+00,6.00E-02,-1.60E-04,1.60E-04,8.32E-16,-2.35E-15,5.50E-31,6.16E-15,0.00E+00,-8.35E-15,-4.26E-15
6.00E-01,1.10E+00,1.20E-01,-1.58E-04,1.58E-04,7.99E-16,-2.50E-15,-2.51E-31,6.53E-15,0.00E+00,-3.59E-14,-4.44E-15
6.00E-01,1.00E+00,7.00E-02,-1.57E-04,1.57E-04,8.31E-16,-2.31E-15,-2.32E-31,6.13E-15,0.00E+00,-4.07E-15,-4.26E-15
6.00E-01,1.20E+00,1.60E-01,-1.57E-04,1.57E-04,7.69E-16,-2.78E-15,1.83E-31,7.05E-15,0.00E+00,-3.50E-16,-4.65E-15
6.00E-01,9.00E-01,4.24E-33,-1.57E-04,1.57E-04,8.67E-16,-2.23E-15,-2.66E-31,5.87E-15,0.00E+00,-1.24E-17,-4.12E-15
6.00E-01,1.10E+00,1.30E-01,-1.55E-04,1.55E-04,7.99E-16,-2.47E-15,1.42E-31,6.50E-15,0.00E+00,-2.47E-16,-4.44E-15
6.00E-01,9.00E-01,1.00E-02,-1.55E-04,1.55E-04,8.67E-16,-2.20E-15,-8.53E-32,5.83E-15,0.00E+00,9.95E-16,-4.11E-15
6.00E-01,1.00E+00,8.00E-02,-1.54E-04,1.54E-04,8.31E-16,-2.28E-15,4.12E-31,6.10E-15,0.00E+00,-9.06E-15,-4.26E-15
6.00E-01,1.20E+00,1.70E-01,-1.54E-04,1.54E-04,7.69E-16,-2.76E-15,1.22E-31,7.02E-15,0.00E+00,-2.12E-16,-4.65E-15
6.00E-01,1.10E+00,1.40E-01,-1.53E-04,1.53E-04,7.98E-16,-2.44E-15,1.93E-31,6.47E-15,0.00E+00,-4.10E-16,-4.44E-15
6.00E-01,9.00E-01,2.00E-02,-1.52E-04,1.52E-04,8.66E-16,-2.16E-15,-1.61E-33,5.80E-15,0.00E+00,2.33E-15,-4.11E-15
6.00E-01,1.00E+00,9.00E-02,-1.51E-04,1.51E-04,8.31E-16,-2.25E-15,-6.44E-32,6.07E-15,0.00E+00,-4.11E-15,-4.26E-15
6.00E-01,1.20E+00,1.80E-01,-1.51E-04,1.51E-04,7.69E-16,-2.73E-15,2.58E-31,7.00E-15,0.00E+00,-3.97E-16,-4.65E-15
6.00E-01,1.10E+00,1.50E-01,-1.50E-04,1.50E-04,7.98E-16,-2.41E-15,-3.86E-32,6.44E-15,0.00E+00,-2.18E-16,-4.44E-15
6.00E-01,1.00E+00,1.00E-01,-1.49E-04,1.49E-04,8.30E-16,-2.22E-15,4.25E-31,6.03E-15,0.00E+00,-3.62E-13,-4.26E-15
6.00E-01,9.00E-01,3.00E-02,-1.49E-04,1.49E-04,8.66E-16,-2.13E-15,-6.20E-32,5.77E-15,0.00E+00,1.86E-15,-4.11E-15
6.00E-01,1.20E+00,1.90E-01,-1.48E-04,1.48E-04,7.69E-16,-2.70E-15,4.99E-32,6.97E-15,0.00E+00,-3.59E-16,-4.65E-15
6.00E-01,1.00E+00,1.10E-01,-1.46E-04,1.46E-04,8.30E-16,-2.19E-15,-3.99E-31,6.00E-15,0.00E+00,-3.72E-13,-4.26E-15
6.00E-01,1.10E+00,1.60E-01,-1.46E-04,1.46E-04,7.98E-16,-2.38E-15,9.98E-32,6.41E-15,0.00E+00,-3.05E-16,-4.43E-15
6.00E-01,9.00E-01,4.00E-02,-1.46E-04,1.46E-04,8.66E-16,-2.10E-15,-2.84E-31,5.73E-15,0.00E+00,1.57E-15,-4.11E-15
6.00E-01,1.20E+00,2.00E-01,-1.45E-04,1.45E-04,7.68E-16,-2.67E-15,2.74E-31,6.94E-15,0.00E+00,-2.02E-16,-4.65E-15
6.00E-01,9.00E-01,5.00E-02,-1.44E-04,1.44E-04,8.65E-16,-2.07E-15,-1.16E-31,5.70E-15,0.00E+00,1.46E-15,-4.11E-15
6.00E-01,1.00E+00,1.20E-01,-1.43E-04,1.43E-04,8.29E-16,-2.15E-15,-7.72E-32,5.97E-15,0.00E+00,-3.81E-13,-4.25E-15
6.00E-01,1.10E+00,1.70E-01,-1.43E-04,1.43E-04,7.97E-16,-2.35E-15,-1.15E-30,6.38E-15,0.00E+00,-2.56E-16,-4.43E-15
6.00E-01,1.20E+00,2.10E-01,-1.41E-04,1.41E-04,7.68E-16,-2.65E-15,5.47E-32,6.92E-15,0.00E+00,-4.95E-16,-4.65E-15
6.00E-01,9.00E-01,6.00E-02,-1.41E-04,1.41E-04,8.65E-16,-2.03E-15,1.05E-31,5.66E-15,0.00E+00,1.23E-15,-4.11E-15
6.00E-01,1.00E+00,1.30E-01,-1.40E-04,1.40E-04,8.29E-16,-2.12E-15,4.35E-32,5.93E-15,0.00E+00,-9.95E-15,-4.25E-15
6.00E-01,1.10E+00,1.80E-01,-1.40E-04,1.40E-04,7.97E-16,-2.32E-15,-1.32E-31,6.35E-15,0.00E+00,-3.90E-16,-4.43E-15
6.00E-01,1.20E+00,2.20E-01,-1.38E-04,1.38E-04,7.68E-16,-2.62E-15,3.47E-31,6.89E-15,0.00E+00,-3.38E-16,-4.65E-15
6.00E-01,9.00E-01,7.00E-02,-1.38E-04,1.38E-04,8.64E-16,-2.00E-15,-2.24E-31,5.63E-15,0.00E+00,9.02E-16,-4.11E-15
6.00E-01,1.00E+00,1.40E-01,-1.37E-04,1.37E-04,8.29E-16,-2.09E-15,4.76E-31,5.90E-15,0.00E+00,-1.02E-14,-4.25E-15
6.00E-01,1.10E+00,1.90E-01,-1.37E-04,1.37E-04,7.97E-16,-2.29E-15,5.15E-32,6.32E-15,0.00E+00,-4.31E-16,-4.43E-15
6.00E-01,8.00E-01,-2.48E-31,-1.37E-04,1.37E-04,9.02E-16,-1.93E-15,1.09E-31,5.39E-15,0.00E+00,2.90E-14,-3.97E-15
6.00E-01,1.20E+00,2.30E-01,-1.35E-04,1.35E-04,7.68E-16,-2.59E-15,2.17E-31,6.86E-15,0.00E+00,-3.40E-16,-4.65E-15
6.00E-01,9.00E-01,8.00E-02,-1.35E-04,1.35E-04,8.64E-16,-1.97E-15,-2.25E-32,5.60E-15,0.00E+00,4.34E-16,-4.10E-15
6.00E-01,1.00E+00,1.50E-01,-1.34E-04,1.34E-04,8.28E-16,-2.06E-15,-2.19E-31,5.87E-15,0.00E+00,-9.89E-15,-4.25E-15
6.00E-01,1.10E+00,2.00E-01,-1.34E-04,1.34E-04,7.96E-16,-2.26E-15,-1.16E-31,6.29E-15,0.00E+00,-2.31E-16,-4.43E-15
6.00E-01,8.00E-01,1.00E-02,-1.34E-04,1.34E-04,9.01E-16,-1.90E-15,-6.44E-32,5.35E-15,0.00E+00,1.57E-15,-3.97E-15
6.00E-01,1.00E+00,1.60E-01,-1.32E-04,1.32E-04,8.28E-16,-2.03E-15,2.12E-31,5.83E-15,0.00E+00,-4.01E-13,-4.25E-15
6.00E-01,9.00E-01,9.00E-02,-1.32E-04,1.32E-04,8.63E-16,-1.94E-15,1.66E-31,5.56E-15,0.00E+00,2.64E-16,-4.10E-15
6.00E-01,1.10E+00,2.10E-01,-1.31E-04,1.31E-04,7.96E-16,-2.23E-15,-5.54E-31,6.26E-15,0.00E+00,-5.28E-16,-4.43E-15
6.00E-01,1.20E+00,2.40E-01,-1.31E-04,1.31E-04,7.67E-16,-2.56E-15,1.05E-31,6.83E-15,0.00E+00,-3.43E-16,-4.65E-15
6.00E-01,8.00E-01,2.00E-02,-1.31E-04,1.31E-04,9.01E-16,-1.87E-15,-5.47E-31,5.32E-15,0.00E+00,1.30E-15,-3.97E-15
