Vs,Vg,Vd,Is,Ig,Id,Ib,Qs,Qg,Qd,Qb,y
0.7,1.5,-2.3E-34,0.000211,-9.79E-31,-0.000211,-2.53E-16,8.3E-16,9.66E-15,-4.42E-15,-5.68E-15,0
0.7,1.5,2.5848E-32,0.000210619,2.57439E-32,-0.000210619,-7.44098E-15,8.30255E-16,9.66302E-15,-4.42349E-15,-5.68107E-15,0
0.7,1.45,6.46E-31,0.000205,-2.7E-31,-0.000205,-8.82E-15,8.43E-16,9.36E-15,-4.24E-15,-5.57E-15,0
0.7,1.45,1.56512E-32,0.000204571,1.28762E-32,-0.000204571,-2.56647E-16,8.43423E-16,9.35601E-15,-4.24078E-15,-5.57003E-15,0
0.7,1.5,0.038461538,0.000200306,3.86265E-31,-0.000200306,-3.33975E-16,8.29559E-16,9.54944E-15,-4.30943E-15,-5.68092E-15,0
0.7,1.4,1.08E-33,0.000198,-2.7E-31,-0.000198,-2.51E-16,8.57E-16,9.06E-15,-4.07E-15,-5.46E-15,0
0.7,1.4,5.45435E-33,0.000197815,-3.09016E-31,-0.000197815,-2.71818E-16,8.56908E-16,9.0619E-15,-4.06564E-15,-5.46463E-15,0
0.7,1.45,0.038461538,0.00019441,-2.44637E-31,-0.00019441,-3.80527E-16,8.4269E-16,9.2376E-15,-4.12349E-15,-5.56824E-15,0
0.6,1.5,-5.79E-34,0.000194,-6.18E-31,-0.000194,-2.71E-16,7.77E-16,1E-14,-4.62E-15,-5.8E-15,0
0.6,1.5,1.81437E-33,0.000193921,1.28757E-31,-0.000193921,-2.60989E-16,7.77176E-16,1.0029E-14,-4.61806E-15,-5.79941E-15,0
0.7,1.35,1.56512E-32,0.000190309,2.06011E-31,-0.000190309,-2.85419E-16,8.70753E-16,8.78121E-15,-3.89817E-15,-5.36534E-15,0
0.7,1.35,-1.43E-33,0.00019,-2.06E-31,-0.00019,-2.51E-16,8.71E-16,8.78E-15,-3.9E-15,-5.37E-15,0
0.7,1.5,0.076923077,0.000189854,6.88843E-31,-0.000189854,-3.38097E-16,8.2885E-16,9.43474E-15,-4.19478E-15,-5.68023E-15,0
0.6,1.45,4.36357E-33,0.000189491,-2.30137E-37,-0.000189491,-2.66071E-16,7.89531E-16,9.68815E-15,-4.41416E-15,-5.67492E-15,0
0.6,1.45,-5E-34,0.000189,4.12E-31,-0.000189,-3.12E-15,7.9E-16,9.69E-15,-4.41E-15,-5.67E-15,0
0.7,1.4,0.038461538,0.000187805,3.73396E-31,-0.000187805,-4.29076E-16,8.56131E-16,8.93847E-15,-3.94503E-15,-5.4611E-15,0
0.6,1.4,7.75E-34,0.000185,1.03E-31,-0.000185,-2.58E-16,8.02E-16,9.36E-15,-4.22E-15,-5.55E-15,0
0.6,1.4,-3.28404E-33,0.000184548,-1.15881E-31,-0.000184548,-2.21363E-16,8.02092E-16,9.35637E-15,-4.21585E-15,-5.55409E-15,0
0.7,1.45,0.076923077,0.000184126,-1.03005E-31,-0.000184126,-3.74429E-16,8.41943E-16,9.11799E-15,-4.00555E-15,-5.56588E-15,0
0.6,1.5,0.038461538,0.000182828,5.02122E-31,-0.000182828,-1.71661E-16,7.76732E-16,9.92182E-15,-4.50779E-15,-5.80213E-15,0
0.7,1.3,-5.20512E-30,0.000182083,1.24894E-30,-0.000182083,-8.88661E-15,8.84999E-16,8.51302E-15,-3.73761E-15,-5.27204E-15,0
0.7,1.3,-1.45E-33,0.000182,3.09E-31,-0.000182,-2.45E-16,8.85E-16,8.51E-15,-3.74E-15,-5.27E-15,0
